disease_canonical,fever_prevalence,cough_prevalence,fatigue_prevalence,difficulty_breathing_prevalence,avg_age,most_common_gender,outcome_positive_rate,patient_count,symptoms,symptom_list,cures,doctor,risk_category,risk_pct,source,symptom_source,has_patient_stats,has_clinical_detail,fever_prevalence_imputed,cough_prevalence_imputed,fatigue_prevalence_imputed,difficulty_breathing_prevalence_imputed,avg_age_imputed,outcome_positive_rate_imputed,symptom_set
acanthamoebkeratitis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain,redness,inflammation in the eye","['pain', 'redness', 'inflammation in the eye']","antibiotics,antifungals,surgery",ophthalmologist,low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'pain', 'redness', 'inflammation in the eye']"
acne,0.0,0.0,1.0,0.0,40.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
acute appendicitis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain in the lower right abdomen,nausea,vomiting,fever","['pain in the lower right abdomen', 'nausea', 'vomiting', 'fever']",appendectomy,surgeon,high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['vomiting', 'fatigue', 'nausea', 'fever', 'pain in the lower right abdomen']"
acute kidney injury,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,decreased kidney function,['decreased kidney function'],"treatment for the underlying cause,such as dehydration,infection,medication side effect",nephrologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'decreased kidney function']"
adenovirus,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"fever,sore throat,cough,conjunctivitis,rash,pink eye","['fever', 'sore throat', 'cough', 'conjunctivitis', 'rash', 'pink eye']","antibiotics,over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['pink eye', 'rash', 'sore throat', 'fatigue', 'cough', 'fever', 'conjunctivitis']"
aflatoxicosis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"vomiting,diarrhea,jaundice,liver damage,death","['vomiting', 'diarrhea', 'jaundice', 'liver damage', 'death']","there is no cure for aflatoxicosis,but treatment may include supportive care,liver transplantation",gastroenterologist,high,70.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['vomiting', 'fatigue', 'death', 'liver damage', 'jaundice', 'diarrhea']"
alcoholism,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"physical dependence on alcohol,tolerance to alcohol,withdrawal symptoms,impaired judgment,memory problems,liver damage,heart disease,cancer","['physical dependence on alcohol', 'tolerance to alcohol', 'withdrawal symptoms', 'impaired judgment', 'memory problems', 'liver damage', 'heart disease', 'cancer']","treatment for alcoholism may include counseling,medication,support groups","psychiatrist,addiction specialist",high,25.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['physical dependence on alcohol', 'tolerance to alcohol', 'fatigue', 'impaired judgment', 'heart disease', 'withdrawal symptoms', 'liver damage', 'memory problems', 'cancer']"
allergic rhinitis,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,40.333333333333336,female,0.16666666666666666,6.0,"runny nose,sneezing,itchy eyes,itchy nose,throat,palate","['runny nose', 'sneezing', 'itchy eyes', 'itchy nose', 'throat', 'palate']","over-the-counter medications,allergy shots",allergist,low,0.1,both,df2_text,True,True,False,False,False,False,False,False,"['sneezing', 'fatigue', 'palate', 'cough', 'runny nose', 'itchy nose', 'itchy eyes', 'throat']"
alzheimers,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,66.66666666666667,female,0.6666666666666666,3.0,"memory loss,confusion,difficulty thinking,changes in personality or behavior","['memory loss', 'confusion', 'difficulty thinking', 'changes in personality or behavior']","there is no cure for alzheimer's disease,but there are treatments that can help manage the symptoms",neurologist,high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['difficulty thinking', 'confusion', 'fatigue', 'changes in personality or behavior', 'memory loss']"
anemia,0.0,0.0,1.0,0.0,50.0,male,0.0,1.0,"fatigue,shortness of breath,pale skin,lightheadedness,dizziness","['fatigue', 'shortness of breath', 'pale skin', 'lightheadedness', 'dizziness']",unknown,hematologist,varies,,both,df1_flags_derived,True,False,False,False,False,False,False,False,"['shortness of breath', 'lightheadedness', 'fatigue', 'dizziness', 'pale skin']"
