,n,positive_rate,precision,recall,f1,roc_auc
coronary_hd,319379.0,0.067,0.149,0.799,0.252,0.798
heart_attack,320788.0,0.066,0.142,0.779,0.24,0.796
diabetes,321783.0,0.153,0.293,0.735,0.419,0.777
stroke,321301.0,0.045,0.089,0.75,0.159,0.752
skin_cancer,321305.0,0.11,0.201,0.679,0.31,0.739
arthritis,320442.0,0.373,0.525,0.718,0.606,0.729
kidney_disease,321151.0,0.039,0.073,0.704,0.133,0.728
other_cancer,321527.0,0.11,0.177,0.702,0.283,0.703
depression,320958.0,0.199,0.303,0.615,0.406,0.681
asthma,321257.0,0.135,0.193,0.513,0.281,0.622
